,Faixa do rendimento mensal domiciliar per capita ,Para acessar a Internet utiliza-se microcomputador,Para acessar a Internet utiliza-se telefone celular,Rendimento mensal domiciliar per capita ,Tem telefone movel celular,Total de moradores de 10 anos ou mais
260,4.0,,,900.0,2.0,2.0
261,,,,,,
262,3.0,,,788.0,2.0,1.0
263,,,,,,
264,4.0,2.0,2.0,876.0,2.0,2.0
265,,,,,,
266,4.0,,,1350.0,2.0,2.0
267,,,,,,
268,3.0,,,494.0,2.0,2.0
269,3.0,,,733.0,2.0,2.0
270,3.0,,,750.0,2.0,2.0
271,4.0,,,900.0,2.0,2.0
272,4.0,2.0,4.0,808.0,2.0,3.0
273,3.0,,,750.0,2.0,2.0
274,4.0,2.0,2.0,1575.0,2.0,4.0
275,4.0,,,900.0,4.0,1.0
276,,,,,,
277,5.0,2.0,2.0,2000.0,2.0,2.0
278,4.0,2.0,2.0,950.0,2.0,4.0
279,,,,,,
280,7.0,2.0,2.0,4000.0,2.0,2.0
281,3.0,,,780.0,2.0,1.0
282,4.0,,,1470.0,2.0,1.0
283,3.0,,,788.0,2.0,1.0
284,5.0,2.0,2.0,2200.0,2.0,2.0
285,4.0,2.0,4.0,907.0,2.0,2.0
286,4.0,4.0,2.0,1550.0,2.0,4.0
287,4.0,,,1000.0,2.0,1.0
288,,,,,,
289,4.0,,,884.0,4.0,2.0
290,4.0,,,950.0,2.0,2.0
291,,,,,,
292,3.0,,,780.0,2.0,2.0
293,3.0,4.0,2.0,759.0,2.0,4.0
294,2.0,2.0,2.0,309.0,2.0,4.0
295,1.0,,,95.0,2.0,1.0
296,,,,,,
297,5.0,2.0,2.0,1700.0,2.0,2.0
298,3.0,2.0,2.0,500.0,2.0,2.0
299,3.0,,,650.0,2.0,1.0
300,1.0,4.0,2.0,197.0,2.0,3.0
301,3.0,,,396.0,2.0,2.0
302,2.0,,,333.0,2.0,3.0
303,6.0,2.0,2.0,3000.0,2.0,1.0
304,2.0,2.0,2.0,375.0,2.0,3.0
305,3.0,,,780.0,2.0,4.0
306,3.0,2.0,4.0,644.0,2.0,4.0
307,4.0,,,944.0,2.0,2.0
308,5.0,2.0,2.0,1788.0,2.0,2.0
309,3.0,4.0,2.0,600.0,2.0,3.0
310,3.0,,,561.0,2.0,3.0
311,2.0,,,220.0,2.0,5.0
312,2.0,,,375.0,2.0,2.0
313,,,,,,
314,4.0,,,1200.0,4.0,1.0
315,4.0,,,1440.0,2.0,2.0
316,,,,,,
317,3.0,,,633.0,2.0,2.0
318,5.0,2.0,2.0,2150.0,2.0,1.0
319,5.0,4.0,2.0,1800.0,2.0,1.0
320,0.0,,,0.0,4.0,1.0
321,4.0,4.0,2.0,900.0,2.0,2.0
322,99.0,,,999999999999.0,2.0,1.0
323,3.0,2.0,4.0,677.0,2.0,5.0
324,2.0,,,274.0,2.0,2.0
325,3.0,2.0,4.0,744.0,2.0,2.0
326,7.0,,,4086.0,2.0,1.0
327,3.0,,,613.0,2.0,3.0
328,,,,,,
329,3.0,2.0,2.0,683.0,2.0,3.0
330,7.0,2.0,2.0,13666.0,2.0,2.0
